cluster_id,cluster_name,return_on_equity_pct_mean,return_on_equity_pct_median,debt_to_equity_mean,debt_to_equity_median,revenue_cagr_5yr_mean,revenue_cagr_5yr_median,free_cash_flow_cr_mean,free_cash_flow_cr_median,operating_profit_margin_pct_mean,operating_profit_margin_pct_median
0,Stable Compounders,22.99048780487805,17.7,0.5862731707317073,0.2558,7.352320535241292,7.676231608463791,10211.829268292682,3095.0,2410.829268292683,20.0
1,High Growth Finance,20.253333333333334,19.619999999999997,6.16995,6.5100999999999996,26.042545546926487,23.45276768026131,-62038.833333333336,-69594.0,4131.5,90.0
2,Balanced Performers,45.735454545454544,15.09,0.6502848484848485,0.0951,16.05273658096931,15.857184188206851,-607.4848484848485,797.0,573.40625,22.0
3,Defense Leaders,4280.3150000000005,4280.3150000000005,0.565,0.565,9.161203963719355,9.161203963719355,274.5,274.5,28.5,28.5
4,Banking Institutions,15.2425,15.05,8.4728,7.5674,14.88760792789843,14.410239240508826,4575.125,7336.0,-7604.0,-3822.5
